Name,Lev,Tm,VH,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS
Bryce Harper,MLB-NL,Washington,1,Chicago,1,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Josh Harrison,MLB-NL,Pittsburgh,1,St. Louis,1,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0
Jeremy Hazelbaker,MLB-NL,St. Louis,0,Pittsburgh,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Heisey,MLB-NL,Washington,1,Chicago,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cesar Hernandez,MLB-NL,Philadelphia,1,Miami,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Odubel Herrera,MLB-NL,Philadelphia,1,Miami,1,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Heyward,MLB-NL,Chicago,0,Washington,1,4,3,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
Aaron Hicks,MLB-AL,New York,0,Boston,1,3,2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
Aaron Hill,MLB-NL,Milwaukee,1,Cincinnati,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Holliday,MLB-NL,St. Louis,0,Pittsburgh,1,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Brock Holt,MLB-AL,Boston,1,New York,1,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Eric Hosmer,MLB-AL,Kansas City,1,Cleveland,1,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Ryan Howard,MLB-NL,Philadelphia,1,Miami,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chris Iannetta,MLB-AL,Seattle,1,Houston,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jose Iglesias,MLB-AL,Detroit,0,Texas,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Omar Infante,MLB-AL,Kansas City,1,Cleveland,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Jackson,MLB-AL,Chicago,0,Minnesota,1,5,4,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Travis Jankowski,MLB-NL,San Diego,0,New York,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Jaso,MLB-NL,Pittsburgh,1,St. Louis,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Jon Jay,MLB-NL,San Diego,0,New York,1,4,4,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0
Chris Johnson,MLB-NL,Miami,0,Philadelphia,1,4,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Kelly Johnson,MLB-NL,Atlanta,0,Arizona,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Matthew Joyce,MLB-NL,Pittsburgh,1,St. Louis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jung Ho Kang,MLB-NL,Pittsburgh,1,St. Louis,1,4,4,2,2,0,0,2,3,0,0,0,0,0,0,1,0,0
Matt Kemp,MLB-NL,San Diego,0,New York,1,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Howie Kendrick,MLB-NL,Los Angeles,1,Toronto,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Kevin Kiermaier,MLB-AL,Tampa Bay,1,Los Angeles,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Ian Kinsler,MLB-AL,Detroit,0,Texas,1,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0
Jason Kipnis,MLB-AL,Cleveland,0,Kansas City,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Tommy La Stella,MLB-NL,Chicago,0,Washington,1,4,4,1,2,0,1,1,2,0,0,0,0,0,0,1,0,0
John Lackey,MLB-NL,Chicago,0,Washington,1,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Juan Lagares,MLB-NL,New York,1,San Diego,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Lamb,MLB-NL,Arizona,1,Atlanta,1,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brett Lawrie,MLB-AL,Chicago,0,Minnesota,1,5,5,1,2,0,0,0,1,0,0,3,0,0,0,0,0,0
DJ LeMahieu,MLB-NL,Colorado,1,San Francisco,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Adam Lind,MLB-AL,Seattle,1,Houston,1,4,3,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Francisco Lindor,MLB-AL,Cleveland,0,Kansas City,1,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Liriano,MLB-NL,Pittsburgh,1,St. Louis,1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Evan Longoria,MLB-AL,Tampa Bay,1,Los Angeles,1,5,4,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0
David Lough,MLB-NL,Philadelphia,1,Miami,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Lucroy,MLB-NL,Milwaukee,1,Cincinnati,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tyler Lyons,MLB-NL,St. Louis,0,Pittsburgh,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Martin Maldonado,MLB-NL,Milwaukee,1,Cincinnati,1,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Nick Markakis,MLB-NL,Atlanta,0,Arizona,1,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Ketel Marte,MLB-AL,Seattle,1,Houston,1,3,3,0,2,0,1,0,3,0,0,0,0,0,0,1,1,0
Starling Marte,MLB-NL,Pittsburgh,1,St. Louis,1,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0
Leonys Martin,MLB-AL,Seattle,1,Houston,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Martin,MLB-AL,Toronto,0,Los Angeles,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Carlos Martinez,MLB-NL,St. Louis,0,Pittsburgh,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Victor Martinez,MLB-AL,Detroit,0,Texas,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Mauer,MLB-AL,Minnesota,1,Chicago,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nomar Mazara,MLB-AL,Texas,1,Detroit,1,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brian McCann,MLB-AL,New York,0,Boston,1,4,4,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0
James McCann,MLB-AL,Detroit,0,Texas,1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Andrew McCutchen,MLB-NL,Pittsburgh,1,St. Louis,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordy Mercer,MLB-NL,Pittsburgh,1,St. Louis,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brad Miller,MLB-AL,Tampa Bay,1,Los Angeles,1,5,5,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1
Yadier Molina,MLB-NL,St. Louis,0,Pittsburgh,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendrys Morales,MLB-AL,Kansas City,1,Cleveland,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Mitch Moreland,MLB-AL,Texas,1,Detroit,1,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Brandon Moss,MLB-NL,St. Louis,0,Pittsburgh,1,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Daniel Murphy,MLB-NL,Washington,1,Chicago,1,4,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Wil Myers,MLB-NL,San Diego,0,New York,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mike Napoli,MLB-AL,Cleveland,0,Kansas City,1,4,4,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0
Daniel Nava,MLB-AL,Los Angeles,0,Tampa Bay,1,5,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Dioner Navarro,MLB-AL,Chicago,0,Minnesota,1,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Kirk Nieuwenhuis,MLB-NL,Milwaukee,1,Cincinnati,1,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Derek Norris,MLB-NL,San Diego,0,New York,1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Eduardo Nunez,MLB-AL,Minnesota,1,Chicago,1,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Rougned Odor,MLB-AL,Texas,1,Detroit,1,5,5,1,3,1,0,1,3,0,0,0,0,0,0,0,0,0
David Ortiz,MLB-AL,Boston,1,New York,1,5,5,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0
Chris Owings,MLB-NL,Arizona,1,Atlanta,1,4,2,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0
Marcell Ozuna,MLB-NL,Miami,0,Philadelphia,1,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Joe Panik,MLB-NL,San Francisco,0,Colorado,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
ByungHo Park,MLB-AL,Minnesota,1,Chicago,1,4,3,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0
Gerardo Parra,MLB-NL,Colorado,1,San Francisco,1,4,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ben Paulsen,MLB-NL,Colorado,1,San Francisco,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Pearce,MLB-AL,Tampa Bay,1,Los Angeles,1,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Joc Pederson,MLB-NL,Los Angeles,1,Toronto,1,4,4,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0
Dustin Pedroia,MLB-AL,Boston,1,New York,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Pence,MLB-NL,San Francisco,0,Colorado,1,4,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Cliff Pennington,MLB-AL,Los Angeles,0,Tampa Bay,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
David Peralta,MLB-NL,Arizona,1,Atlanta,1,5,5,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0
Carlos Perez,MLB-AL,Los Angeles,0,Tampa Bay,1,4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Hernan Perez,MLB-NL,Milwaukee,1,Cincinnati,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvador Perez,MLB-AL,Kansas City,1,Cleveland,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Brandon Phillips,MLB-NL,Cincinnati,0,Milwaukee,1,4,4,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0
A.J. Pierzynski,MLB-NL,Atlanta,0,Arizona,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kevin Pillar,MLB-AL,Toronto,0,Los Angeles,1,4,4,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0
Stephen Piscotty,MLB-NL,St. Louis,0,Pittsburgh,1,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Trevor Plouffe,MLB-AL,Minnesota,1,Chicago,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gregory Polanco,MLB-NL,Pittsburgh,1,St. Louis,1,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Drew Pomeranz,MLB-NL,San Diego,0,New York,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Buster Posey,MLB-NL,San Francisco,0,Colorado,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Martin Prado,MLB-NL,Miami,0,Philadelphia,1,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Alex Presley,MLB-NL,Milwaukee,1,Cincinnati,1,5,4,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
Yasiel Puig,MLB-NL,Los Angeles,1,Toronto,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Pujols,MLB-AL,Los Angeles,0,Tampa Bay,1,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Ryan Raburn,MLB-NL,Colorado,1,San Francisco,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexei Ramirez,MLB-NL,San Diego,0,New York,1,3,3,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0
Hanley Ramirez,MLB-AL,Boston,1,New York,1,5,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
Jose Ramirez,MLB-AL,Cleveland,0,Kansas City,1,4,3,0,3,2,0,0,5,1,0,0,0,0,0,0,0,0
Wilson Ramos,MLB-NL,Washington,1,Chicago,1,4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0
Colby Rasmus,MLB-AL,Houston,0,Seattle,1,4,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
J.T. Realmuto,MLB-NL,Miami,0,Philadelphia,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Anthony Rendon,MLB-NL,Washington,1,Chicago,1,5,4,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
Ben Revere,MLB-NL,Washington,1,Chicago,1,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mark Reynolds,MLB-NL,Colorado,1,San Francisco,1,4,4,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0
Rene Rivera,MLB-NL,New York,1,San Diego,1,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Anthony Rizzo,MLB-NL,Chicago,0,Washington,1,4,2,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0
Sean Rodriguez,MLB-NL,Pittsburgh,1,St. Louis,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Miguel Rojas,MLB-NL,Miami,0,Philadelphia,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Adam Rosales,MLB-NL,San Diego,0,New York,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eddie Rosario,MLB-AL,Minnesota,1,Chicago,1,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
David Ross,MLB-NL,Chicago,0,Washington,1,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Darin Ruf,MLB-NL,Philadelphia,1,Miami,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Cameron Rupp,MLB-NL,Philadelphia,1,Miami,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Josh Rutledge,MLB-AL,Boston,1,New York,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Saladino,MLB-AL,Chicago,0,Minnesota,1,4,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Jarrod Saltalamacchia,MLB-AL,Detroit,0,Texas,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Miguel Sano,MLB-AL,Minnesota,1,Chicago,1,4,3,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0
Carlos Santana,MLB-AL,Cleveland,0,Kansas City,1,5,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Danny Santana,MLB-AL,Minnesota,1,Chicago,1,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Domingo Santana,MLB-NL,Milwaukee,1,Cincinnati,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Michael Saunders,MLB-AL,Toronto,0,Los Angeles,1,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Scott Schebler,MLB-NL,Cincinnati,0,Milwaukee,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Scherzer,MLB-NL,Washington,1,Chicago,1,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Corey Seager,MLB-NL,Los Angeles,1,Toronto,1,5,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Kyle Seager,MLB-AL,Seattle,1,Houston,1,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Jean Segura,MLB-NL,Arizona,1,Atlanta,1,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Travis Shaw,MLB-AL,Boston,1,New York,1,4,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
Andrelton Simmons,MLB-AL,Los Angeles,0,Tampa Bay,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Mallex Smith,MLB-NL,Atlanta,0,Arizona,1,3,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Seth Smith,MLB-AL,Seattle,1,Houston,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Justin Smoak,MLB-AL,Toronto,0,Los Angeles,1,4,2,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0
Jorge Soler,MLB-NL,Chicago,0,Washington,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Steven Souza Jr.,MLB-AL,Tampa Bay,1,Los Angeles,1,4,3,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0
Denard Span,MLB-NL,San Francisco,0,Colorado,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
George Springer,MLB-AL,Houston,0,Seattle,1,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Giancarlo Stanton,MLB-NL,Miami,0,Philadelphia,1,4,3,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0
Trevor Story,MLB-NL,Colorado,1,San Francisco,1,4,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1
Eugenio Suarez,MLB-NL,Cincinnati,0,Milwaukee,1,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Kurt Suzuki,MLB-AL,Minnesota,1,Chicago,1,4,3,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
Noah Syndergaard,MLB-NL,New York,1,San Diego,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Mark Teixeira,MLB-AL,New York,0,Boston,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Ruben Tejada,MLB-NL,St. Louis,0,Pittsburgh,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Ronald Torreyes,MLB-AL,New York,0,Boston,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mike Trout,MLB-AL,Los Angeles,0,Tampa Bay,1,5,4,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0
Preston Tucker,MLB-AL,Houston,0,Seattle,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Tuiasosopo,MLB-NL,Atlanta,0,Arizona,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Justin Turner,MLB-NL,Los Angeles,1,Toronto,1,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Justin Upton,MLB-AL,Detroit,0,Texas,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Melvin Upton Jr.,MLB-NL,San Diego,0,New York,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Chase Utley,MLB-NL,Los Angeles,1,Toronto,1,5,4,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0
Luis Valbuena,MLB-AL,Houston,0,Seattle,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Christian Vazquez,MLB-AL,Boston,1,New York,1,3,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Vince Velasquez,MLB-NL,Philadelphia,1,Miami,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Villar,MLB-NL,Milwaukee,1,Cincinnati,1,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1
Joey Votto,MLB-NL,Cincinnati,0,Milwaukee,1,4,2,2,1,0,0,1,1,2,0,1,0,0,0,0,0,0
Neil Walker,MLB-NL,New York,1,San Diego,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brett Wallace,MLB-NL,San Diego,0,New York,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colin Walsh,MLB-NL,Milwaukee,1,Cincinnati,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Jemile Weeks,MLB-NL,San Diego,0,New York,1,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Jayson Werth,MLB-NL,Washington,1,Chicago,1,4,4,1,1,1,0,0,2,0,0,3,0,0,0,0,0,0
Bobby Wilson,MLB-AL,Texas,1,Detroit,1,4,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Kolten Wong,MLB-NL,St. Louis,0,Pittsburgh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Wright,MLB-NL,New York,1,San Diego,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Christian Yelich,MLB-NL,Miami,0,Philadelphia,1,4,4,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0
Chris Young,MLB-AL,Boston,1,New York,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ryan Zimmerman,MLB-NL,Washington,1,Chicago,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ben Zobrist,MLB-NL,Chicago,0,Washington,1,4,2,3,2,0,0,2,4,2,0,0,0,0,0,0,0,0
Jose Abreu,MLB-AL,Chicago,0,Minnesota,1,5,4,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0
Dustin Ackley,MLB-AL,New York,0,Boston,1,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cristhian Adames,MLB-NL,Colorado,1,San Francisco,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Adams,MLB-NL,St. Louis,0,Pittsburgh,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Nick Ahmed,MLB-NL,Arizona,1,Atlanta,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Yonder Alonso,MLB-AL,Oakland,1,Baltimore,2,8,5,3,3,1,0,0,0,3,0,0,0,0,0,0,0,0
Jose Altuve,MLB-AL,Houston,0,Seattle,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Alvarez,MLB-AL,Baltimore,0,Oakland,2,5,4,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0
Elvis Andrus,MLB-AL,Texas,1,Detroit,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nori Aoki,MLB-AL,Seattle,1,Houston,1,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Oswaldo Arcia,MLB-AL,Minnesota,1,Chicago,1,4,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Nolan Arenado,MLB-NL,Colorado,1,San Francisco,1,6,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1
Erick Aybar,MLB-NL,Atlanta,0,Arizona,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Javier Baez,MLB-NL,Chicago,0,Washington,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darwin Barney,MLB-AL,Toronto,0,Los Angeles,1,3,3,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0
Tucker Barnhart,MLB-NL,Cincinnati,0,Milwaukee,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jose Bautista,MLB-AL,Toronto,0,Los Angeles,1,4,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Brandon Belt,MLB-NL,San Francisco,0,Colorado,1,5,4,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0
Carlos Beltran,MLB-AL,New York,0,Boston,1,4,4,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0
Adrian Beltre,MLB-AL,Texas,1,Detroit,1,4,4,2,2,0,0,2,4,0,0,0,0,0,0,0,0,0
Mookie Betts,MLB-AL,Boston,1,New York,1,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Blackmon,MLB-NL,Colorado,1,San Francisco,1,6,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Andres Blanco,MLB-NL,Philadelphia,1,Miami,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gregor Blanco,MLB-NL,San Francisco,0,Colorado,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jabari Blash,MLB-NL,San Diego,0,New York,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Xander Bogaerts,MLB-AL,Boston,1,New York,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Justin Bour,MLB-NL,Miami,0,Philadelphia,1,3,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Peter Bourjos,MLB-NL,Philadelphia,1,Miami,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Jackie Bradley Jr.,MLB-AL,Boston,1,New York,1,3,3,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0
Ryan Braun,MLB-NL,Milwaukee,1,Cincinnati,1,6,6,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0
Reid Brignac,MLB-NL,Atlanta,0,Arizona,1,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay Bruce,MLB-NL,Cincinnati,0,Milwaukee,1,5,5,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0
Kris Bryant,MLB-NL,Chicago,0,Washington,1,5,4,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0
Billy Burns,MLB-AL,Oakland,1,Baltimore,2,9,9,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1
Billy Butler,MLB-AL,Oakland,1,Baltimore,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlon Byrd,MLB-AL,Cleveland,0,Kansas City,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Asdrubal Cabrera,MLB-NL,New York,1,San Diego,1,4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0
Melky Cabrera,MLB-AL,Chicago,0,Minnesota,1,5,3,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0
Miguel Cabrera,MLB-AL,Detroit,0,Texas,1,5,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Cain,MLB-AL,Kansas City,1,Cleveland,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Kole Calhoun,MLB-AL,Los Angeles,0,Tampa Bay,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Mark Canha,MLB-AL,Oakland,1,Baltimore,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robinson Cano,MLB-AL,Seattle,1,Houston,1,5,5,2,4,0,0,2,2,0,0,0,0,0,0,0,0,0
Matt Carpenter,MLB-NL,St. Louis,0,Pittsburgh,1,5,5,2,2,1,0,1,2,0,0,1,0,0,0,0,0,0
Chris Carter,MLB-NL,Milwaukee,1,Cincinnati,1,5,5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0
